                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9115,                 5.3535,                 4.1766,                0.00015,                0.01042,                0.00018,                  5e-05,                 3.8496,                 5.6212,                 4.1575,              0.0001875,              0.0001875,              0.0001875
                      2,                 3.9079,                 5.3076,                 4.0778,                0.00014,                0.01042,                 0.0001,                  3e-05,                 3.8495,                 5.5551,                 4.1371,             0.00038622,             0.00038622,             0.00038622
                      3,                 3.7365,                 4.7639,                 3.8985,                0.00037,                0.02837,                0.00028,                  6e-05,                 3.8331,                 5.3003,                 4.0726,             0.00058362,             0.00058362,             0.00058362
                      4,                 3.6503,                 4.4844,                 3.7085,                0.00103,                0.03591,                0.00072,                0.00017,                 3.8119,                 5.3984,                 4.0771,              0.0007797,              0.0007797,              0.0007797
                      5,                 3.5786,                 4.4463,                 3.5293,                0.00036,                0.05386,                0.00071,                0.00017,                 3.8052,                 5.1337,                 3.7668,             0.00097446,             0.00097446,             0.00097446
                      6,                 3.4309,                 4.3279,                 3.3342,                0.00071,                0.09036,                  0.001,                0.00022,                 3.6943,                 4.8982,                 3.7561,              0.0011679,              0.0011679,              0.0011679
                      7,                 3.2999,                 4.1936,                 3.2213,                0.00072,                0.05911,                0.00114,                0.00033,                 3.8077,                  4.974,                 3.7911,              0.0012252,              0.0012252,              0.0012252
                      8,                 3.1544,                  4.084,                 3.0343,                0.00098,                0.19648,                0.00113,                0.00036,                 3.5571,                 4.9187,                 3.4001,              0.0012252,              0.0012252,              0.0012252
                      9,                 3.1208,                 4.0033,                 3.0034,                0.00164,                0.11365,                0.00137,                0.00043,                 3.2948,                 4.3738,                 3.3847,              0.0012211,              0.0012211,              0.0012211
                     10,                   3.11,                 3.9758,                 2.9619,                 0.0023,                0.21392,                0.00231,                0.00062,                 3.4341,                 4.1684,                 3.0806,               0.001217,               0.001217,               0.001217
                     11,                   3.08,                 3.8284,                 2.9141,                0.00177,                0.22324,                0.00181,                0.00061,                 3.2432,                 4.1924,                   3.12,              0.0012129,              0.0012129,              0.0012129
                     12,                 3.0079,                 3.8273,                  2.835,                0.68491,                0.00407,                 0.0063,                0.00112,                 3.3844,                 4.4151,                  3.076,              0.0012087,              0.0012087,              0.0012087
                     13,                 3.0427,                 3.8199,                 2.7882,                0.67785,                 0.0122,                0.00384,                0.00113,                 2.9803,                 5.2429,                 2.8581,              0.0012046,              0.0012046,              0.0012046
                     14,                 2.9986,                 3.8069,                 2.8069,                0.00299,                0.01736,                0.00129,                0.00036,                 2.9932,                 6.9439,                 2.8523,              0.0012005,              0.0012005,              0.0012005
                     15,                 2.9275,                 3.6502,                 2.7528,                0.00162,                0.27769,                0.00187,                0.00055,                 2.9849,                 4.3845,                 2.8079,              0.0011964,              0.0011964,              0.0011964
                     16,                 2.8657,                 3.6784,                 2.7464,                0.00236,                0.24458,                0.00269,                0.00086,                 3.0811,                  3.837,                 3.0046,              0.0011922,              0.0011922,              0.0011922
                     17,                 2.8295,                 3.5607,                 2.7327,                0.00234,                0.34942,                0.00631,                 0.0018,                 2.9758,                  3.646,                 2.8344,              0.0011881,              0.0011881,              0.0011881
                     18,                  2.814,                 3.4277,                 2.6888,                0.00886,                0.11594,                 0.0091,                0.00283,                 2.8383,                 3.9542,                 2.7465,               0.001184,               0.001184,               0.001184
                     19,                 2.8231,                 3.5653,                 2.7113,                0.00228,                0.35696,                0.00548,                0.00151,                 2.9266,                 3.7041,                 2.7494,              0.0011799,              0.0011799,              0.0011799
                     20,                 2.7824,                 3.4802,                 2.6711,                0.01226,                0.01795,                0.00635,                0.00165,                 2.9107,                 4.0624,                 2.7339,              0.0011757,              0.0011757,              0.0011757
                     21,                 2.9039,                 3.5316,                 2.7086,                 0.0061,                0.04285,                0.00654,                0.00158,                 2.9666,                 4.1877,                  2.723,              0.0011716,              0.0011716,              0.0011716
                     22,                 2.7624,                 3.3623,                 2.5998,                0.35366,                0.02837,                0.00843,                0.00222,                 2.7912,                  3.646,                 2.6476,              0.0011675,              0.0011675,              0.0011675
                     23,                 2.7159,                 3.3711,                 2.5924,                0.01667,                0.42083,                0.01759,                0.00419,                  2.857,                 3.4696,                 2.6907,              0.0011634,              0.0011634,              0.0011634
                     24,                 2.7157,                 3.3091,                 2.5885,                0.35862,                   0.12,                0.01679,                0.00441,                 2.7702,                  3.524,                 2.6284,              0.0011593,              0.0011593,              0.0011593
                     25,                  2.713,                 3.2986,                 2.5818,                0.35449,                0.03125,                0.01051,                0.00243,                 2.7454,                 3.4039,                 2.6008,              0.0011551,              0.0011551,              0.0011551
                     26,                 2.7047,                 3.2788,                 2.5704,                0.35906,                0.14592,                0.01515,                0.00406,                 2.7534,                 3.3172,                 2.6358,               0.001151,               0.001151,               0.001151
                     27,                 2.6555,                  3.318,                  2.531,                0.38797,                0.06843,                0.01523,                0.00361,                 2.7806,                 3.6459,                 2.6759,              0.0011469,              0.0011469,              0.0011469
                     28,                 2.6735,                 3.1848,                 2.5244,                0.00658,                0.33742,                0.00944,                0.00256,                 2.7516,                 3.8264,                 2.7076,              0.0011428,              0.0011428,              0.0011428
                     29,                 2.6152,                 3.1785,                 2.4801,                0.34562,                 0.0625,                0.01473,                0.00401,                 2.7857,                 3.9719,                 2.6052,              0.0011386,              0.0011386,              0.0011386
                     30,                 2.5886,                 3.1347,                 2.4595,                0.36209,                0.11179,                0.02104,                0.00601,                 2.7409,                 3.3464,                 2.5344,              0.0011345,              0.0011345,              0.0011345
                     31,                 2.5154,                 3.0874,                 2.4227,                0.38036,                0.06487,                0.02863,                0.01216,                  2.601,                 3.3086,                 2.5484,              0.0011304,              0.0011304,              0.0011304
                     32,                 2.5453,                  3.094,                 2.4774,                0.36901,                0.04861,                0.02758,                0.01053,                 2.6243,                 3.1815,                 2.5021,              0.0011263,              0.0011263,              0.0011263
                     33,                 2.5376,                 3.0339,                   2.47,                0.39665,                0.05564,                0.02422,                0.00938,                 2.6092,                 3.7312,                 2.5935,              0.0011221,              0.0011221,              0.0011221
                     34,                  2.484,                 3.0128,                 2.4162,                0.38766,                 0.0625,                0.03698,                0.01425,                 2.7135,                 3.4487,                 2.5705,               0.001118,               0.001118,               0.001118
                     35,                 2.5109,                 2.9495,                 2.4396,                0.42038,                0.06944,                0.04063,                0.01564,                 2.6435,                   3.38,                 2.5387,              0.0011139,              0.0011139,              0.0011139
                     36,                 2.4545,                 2.9009,                 2.3599,                0.39667,                0.07592,                0.04782,                0.01735,                  2.583,                 3.1669,                 2.5083,              0.0011098,              0.0011098,              0.0011098
                     37,                 2.4901,                 2.9914,                 2.3986,                 0.3997,                0.07071,                0.03406,                0.00991,                 2.6928,                 3.3185,                  2.564,              0.0011056,              0.0011056,              0.0011056
